"y","x","date","subcat","cat"
30.136052,31.268531,"2011-06-14 13:59:00",43,32
30.091761,31.277197,"2011-06-14 13:08:00",109,108
30.962522,31.24297,"2011-06-14 13:47:00",110,108
30.151487,31.312975,"2011-06-14 13:54:00",117,113
29.980083,31.432761,"2011-06-14 22:42:00",22,101
31.19806,29.91917,"2011-06-15 23:34:00",43,32
30.003049,31.158168,"2011-06-15 00:45:00",114,113
31.0413,31.3799,"2011-06-15 01:42:00",104,101
30.139078,31.307209,"2011-06-15 01:39:00",109,108
30.97611,31.16694,"2011-06-07 17:30:00",109,108
31.038883,30.471394,"2011-06-15 01:08:00",109,108
30.589546,31.496176,"2011-06-15 01:35:00",43,32
31.03333,30.46667,"2011-06-15 01:57:00",22,101
30.054391,31.252277,"2011-06-15 12:15:00",39,32
30.055332,31.247946,"2011-06-15 12:23:00",117,113
30.071488,31.242728,"2011-06-15 13:07:00",109,108
29.969503,31.254273,"2011-06-15 13:08:00",38,32
30.119963,31.28762,"2011-06-15 13:56:00",109,108
31.421841,31.81332,"2011-06-15 13:22:00",109,108
30.5645,31.1576,"2011-06-15 13:24:00",114,113
30.78193,31.008231,"2011-06-15 13:34:00",114,113
30.034653,31.24405,"2011-06-15 13:47:00",104,101
30.55861,31.01,"2011-06-15 23:06:00",104,101
30.291333,31.202903,"2011-06-16 01:52:00",22,101
30.047492,31.296226,"2011-06-16 13:18:00",104,101
30.001432,31.168816,"2011-06-16 12:00:00",104,101
30.79111,30.99806,"2011-06-16 13:40:00",37,32
29.980083,31.432761,"2011-06-03 13:00:00",114,113
31.21306,31.3575,"2011-06-17 00:29:00",117,113
29.969582,31.326918,"2011-06-17 00:58:00",114,113
31.04306,31.37667,"2011-06-17 01:24:00",114,113
31.364329,31.742343,"2011-06-17 01:51:00",109,108
31.19806,29.91917,"2011-06-17 01:54:00",102,101
30.047345,31.364747,"2011-06-17 12:48:00",114,113
30.08414,31.233662,"2011-06-17 13:39:00",31,118
30.06783,31.333848,"2011-06-17 13:59:00",38,32
30.077776,31.243695,"2011-06-17 13:16:00",31,118
30.091796,31.245348,"2011-06-17 13:29:00",109,108
30.604689,32.277907,"2011-06-17 13:34:00",117,113
30.037024,31.427789,"2011-06-17 13:32:00",104,101
31.089941,32.411527,"2011-06-17 13:29:00",104,101
31.261263,29.990051,"2011-06-17 13:21:00",38,32
29.7431,31.3011,"2011-06-17 13:24:00",114,113
30.094679,31.303765,"2011-06-17 13:03:00",39,32
30.732662,31.719546,"2011-06-17 17:00:00",116,113
28.42222,30.75556,"2011-06-17 13:13:00",114,113
29.30778,30.84,"2011-06-17 13:09:00",114,113
30.732662,31.719546,"2011-06-17 17:00:00",38,32
28.42222,30.75556,"2011-06-17 13:24:00",114,113
30.111007,31.316901,"2011-06-17 13:00:00",104,101
28.35,28.86667,"2011-06-17 13:31:00",110,108
31.19806,29.91917,"2011-06-17 13:55:00",114,113
30.60528,32.27722,"2011-06-17 13:06:00",104,101
30.7144,31.2419,"2011-06-17 23:20:00",110,108
30.656195,31.67245,"2011-06-17 23:34:00",116,113
30.067848,31.333484,"2011-06-18 00:15:00",38,32
30.421999,31.569417,"2011-06-18 00:15:00",114,113
30.3101,31.313,"2011-06-18 00:14:00",115,113
30.084616,31.207785,"2011-06-18 00:48:00",43,32
31.220973,29.94272,"2011-06-16 20:31:00",104,101
31.422876,31.822332,"2011-06-18 01:00:00",116,113
30.79111,30.99806,"2011-06-18 01:34:00",114,113
30.792015,30.959451,"2011-06-18 01:05:00",31,118
30.56667,31.15,"2011-06-18 01:19:00",109,108
30.46083,31.1875,"2011-06-18 01:54:00",110,108
30.134809,31.308761,"2011-06-18 11:42:00",22,101
31.220167,29.991767,"2011-06-18 11:36:00",109,108
31.216795,31.551906,"2011-06-18 13:25:00",110,108
30.31278,31.32111,"2011-06-18 13:08:00",117,113
29.254197,31.218151,"2011-06-18 13:05:00",109,108
29.328585,30.844807,"2011-06-19 00:56:00",110,108
30.014648,31.283854,"2011-06-19 01:23:00",104,101
31.19806,29.91917,"2011-06-19 01:08:00",104,101
29.973179,30.951601,"2011-06-19 01:14:00",22,101
31.030296,31.367852,"2011-06-19 01:40:00",22,101
31.034029,31.362455,"2011-06-19 01:50:00",22,101
30.02121,31.276163,"2011-06-19 11:50:00",104,101
30.118662,31.338226,"2011-06-19 12:52:00",38,32
30.11907,31.337325,"2011-06-19 12:55:00",43,32
31.04306,31.37667,"2011-06-19 13:19:00",117,113
30.11997,31.338526,"2011-06-19 13:18:00",104,101
31.222988,31.61395,"2011-06-19 13:26:00",110,108
30.61119,32.18478,"2011-06-19 13:45:00",104,101
30.7206,31.2588,"2011-06-19 13:48:00",115,113
30.094602,31.319069,"2011-06-19 13:02:00",115,113
30.1225,31.13361,"2011-06-19 13:31:00",115,113
30.077451,31.261281,"2011-06-19 13:31:00",104,101
30.31278,31.32111,"2011-06-20 01:35:00",43,32
30.59139,31.51028,"2011-06-20 11:54:00",110,108
30.070447,31.355411,"2011-06-20 13:03:00",109,108
30.070696,31.202669,"2011-06-20 13:33:00",116,113
30.065007,31.246237,"2011-06-20 13:07:00",114,113
30.521257,31.34669,"2011-06-20 13:05:00",104,101
30.082629,31.275891,"2011-06-20 13:33:00",110,108
29.986506,31.201102,"2011-06-20 13:19:00",109,108
31.268919,30.004711,"2011-06-20 23:51:00",43,32
30.032317,31.222204,"2011-06-21 01:04:00",31,118
31.2689,30.00469,"2011-06-21 10:21:00",43,32
31.2689,30.00469,"2011-06-21 10:51:00",43,32
31.26072,29.994916,"2011-06-21 13:05:00",110,108
29.983341,31.244972,"2011-06-21 22:41:00",117,113
30.073921,31.121267,"2011-06-22 00:40:00",110,108
31.268919,30.004679,"2011-06-22 01:31:00",43,32
31.269102,30.005172,"2011-06-22 11:40:00",43,32
30.058823,31.376335,"2011-06-22 12:55:00",116,113
31.19806,29.91917,"2011-06-22 13:07:00",39,32
30.456335,31.418355,"2011-06-22 13:56:00",114,113
30.455152,31.419041,"2011-06-22 13:11:00",114,113
30.79111,30.99806,"2011-06-22 13:10:00",114,113
31.2161,31.624,"2011-06-23 01:12:00",117,113
31.2689,30.00469,"2011-06-23 01:25:00",43,32
31.040578,31.369857,"2011-06-23 12:59:00",110,108
30.118068,31.320223,"2011-06-23 13:10:00",110,108
30.068573,31.250357,"2011-06-23 23:28:00",37,32
29.923702,31.544262,"2011-06-23 13:45:00",119,118
31.297226,31.654848,"2011-06-24 01:12:00",114,113
31.19806,29.91917,"2011-06-24 13:36:00",43,32
30.684893,30.944753,"2011-06-24 13:56:00",109,108
29.981181,31.240057,"2011-06-24 13:37:00",117,113
31.19806,29.91917,"2011-06-24 13:19:00",117,113
30.736256,31.586802,"2011-06-24 13:36:00",110,108
29.999608,31.25695,"2011-06-24 13:34:00",104,101
30.240646,31.696446,"2011-06-24 13:03:00",115,113
30.6341,31.0845,"2011-06-25 00:49:00",114,113
31.264407,29.994051,"2011-06-25 10:26:00",38,32
31.258106,29.980801,"2011-06-25 11:01:00",43,32
30.774335,31.018981,"2011-06-25 13:10:00",109,108
31.21333,29.80862,"2011-06-25 13:26:00",109,108
31.215679,29.938396,"2011-06-26 00:05:00",116,113
30.180206,31.419436,"2011-06-26 00:53:00",109,108
30.456608,30.82484,"2011-06-26 01:05:00",117,113
31.266222,30.001943,"2011-06-26 01:10:00",43,32
31.268359,30.004132,"2011-06-26 01:17:00",43,32
29.976023,31.256869,"2011-06-26 13:03:00",39,32
29.84286,31.29599,"2011-06-26 13:15:00",109,108
31.2135,29.9443,"2011-06-26 13:33:00",43,32
31.268377,30.004142,"2011-06-26 23:13:00",43,32
31.272727,30.008483,"2011-06-27 01:16:00",117,113
28.35,28.86667,"2011-06-27 01:35:00",109,108
31.19806,29.91917,"2011-06-27 11:49:00",114,113
31.173588,31.795665,"2011-06-27 13:57:00",104,101
31.173602,31.795778,"2011-06-27 13:13:00",104,101
30.125408,31.347764,"2011-06-28 01:26:00",110,108
31.268332,30.00411,"2011-06-28 01:25:00",43,32
29.979583,31.14085,"2011-06-28 12:18:00",115,113
30.15162,31.335286,"2011-06-28 13:54:00",104,101
30.000731,31.160185,"2011-06-28 13:07:00",39,32
31.213036,29.94154,"2011-06-28 13:27:00",104,101
31.213193,29.942165,"2011-06-28 13:44:00",104,101
29.332326,30.83588,"2011-06-28 13:29:00",104,101
30.041137,31.336561,"2011-06-29 13:51:00",22,101
30.099621,31.164906,"2011-06-29 13:32:00",117,113
30.088333,31.181385,"2011-06-29 13:51:00",104,101
29.97524,30.942814,"2011-06-29 13:49:00",22,101
29.84286,31.29599,"2011-06-29 22:56:00",43,32
30.075027,31.233484,"2011-06-29 23:02:00",104,101
29.832443,31.358613,"2011-06-30 13:04:00",114,113
31.19806,29.91917,"2011-06-30 13:15:00",114,113
31.247925,29.979209,"2011-06-30 13:04:00",31,118
30.076173,31.319868,"2011-07-01 01:12:00",104,101
30.000666,31.160219,"2011-07-01 12:40:00",39,32
29.981622,31.3403,"2011-07-01 13:25:00",116,113
29.965213,31.25329,"2011-07-01 13:41:00",114,113
31.26901,30.004775,"2011-07-01 13:01:00",43,32
30.030311,31.177201,"2011-07-02 13:17:00",114,113
31.231404,29.961325,"2011-07-02 13:45:00",39,32
31.2135,29.9443,"2011-07-02 13:21:00",109,108
29.967221,31.261487,"2011-07-02 23:58:00",114,113
30.128099,31.32143,"2011-07-03 00:35:00",43,32
29.966384,30.934815,"2011-07-04 00:00:00",104,101
30.032503,31.248983,"2011-07-04 10:57:00",43,32
30.114183,31.308096,"2011-07-04 13:40:00",31,118
31.0413,31.3799,"2011-07-04 13:56:00",114,113
30.057428,31.26199,"2011-07-05 01:08:00",22,101
30.88904,31.4615,"2011-07-05 11:37:00",31,118
29.961328,31.416267,"2011-07-05 12:58:00",114,113
29.974638,31.261343,"2011-07-05 13:03:00",114,113
31.19806,29.91917,"2011-07-05 13:00:00",104,101
31.19806,29.91917,"2011-07-05 13:25:00",116,113
31.268332,30.004121,"2011-07-05 13:55:00",43,32
30.064888,31.207478,"2011-07-05 23:41:00",22,101
30.123629,31.305935,"2011-07-06 01:49:00",116,113
31.19806,29.91917,"2011-07-06 13:07:00",116,113
30.011583,31.190934,"2011-07-07 01:38:00",22,101
31.1673,31.8006,"2011-07-08 01:08:00",104,101
29.992935,31.194496,"2011-07-08 13:01:00",109,108
29.06389,31.08889,"2011-07-08 23:35:00",114,113
30.79111,30.99806,"2011-07-10 01:20:00",114,113
30.79111,30.99806,"2011-07-10 13:52:00",43,32
31.19806,29.91917,"2011-07-11 12:00:00",114,113
30.083428,31.253103,"2011-07-11 12:06:00",116,113
30.133918,31.336187,"2011-07-11 13:06:00",22,101
29.85,31.33333,"2011-07-11 13:20:00",110,108
31.268423,30.004217,"2011-07-13 01:32:00",43,32
29.861315,31.33745,"2011-07-13 12:43:00",43,32
30.00022,31.1289,"2011-07-16 12:09:00",43,32
30.016,31.408124,"2011-07-16 12:36:00",104,101
30.088775,31.214651,"2011-07-18 13:11:00",109,108
30.54556,31.77806,"2011-07-18 22:59:00",109,108
30.552393,31.7872,"2011-07-19 01:39:00",114,113
30.094484,31.24967,"2011-07-17 01:30:00",104,101
30.012684,31.189904,"2011-07-19 13:29:00",22,101
30.13401,31.375466,"2011-07-19 13:48:00",43,32
29.30778,30.84,"2011-07-19 13:58:00",114,113
